"827";"Former Taylor Rental";"4";"1";"<p>Strong retail corridor. Good visibility from highway. Great development opportunity.</p>";;"1999-11-30 00:00:00"
"573";"Press Release";"14";"1";"Markeim-Chalmers Awarded Exclusive Listing For 85,000-Sq. Ft. in Office Space at Voorhees Town Center";;"2011-07-09 14:24:59"
"576";"Voorhees Town Center Award";"14";"0";"<p>Markeim-Chalmers Awarded Exclusive Listing For 85,000-Sq. Ft. in Office Space at Voorhees Town Center</p>";;"2011-06-27 16:42:00"
"590";"Three Employee Promotions";"14";"1";"Markeim-Chalmers Announces&nbsp;Three Employee Promotions";;"2011-04-29 19:19:00"
"596";"Center for Neurological and Neurodevelopmental Health in a long term lease of a medical office a in Gibbsboro, NJ.";"14";"1";"<p>Markeim-Chalmers, represented Center for Neurological and Neurodevelopmental Health in a long term lease of a 13,000-square foot medical office at High Ridge Professional Campus, 250 Haddonfield Berlin Road in Gibbsboro.</p>";;"2011-02-01 19:58:00"
"598";"Long term lease renewal for Atlas Wallpaper in Marlton, NJ.";"14";"1";"<p>Markeim-Chalmers arranged the long term lease renewal for Atlas Wallpaper and its 22,000 SF retail showroom/warehouse located at 931 Route 73 in Marlton, representing the landlord, Designers Court, LLC.</p>";;"2011-07-09 20:09:24"
"644";"6,300 SQ. FT. Wawa Center in Marlton, New Jersey. ";"14";"1";"Markeim-Chalmers Sells 6,300 SQ. FT. Wawa Center in Marlton, New Jersey.";;"2009-03-10 11:13:00"
"600";"Sale office space at Washington Pavilions in Sewell, NJ.";"14";"1";"<p>Markeim-Chalmers negotiated the sale of a 10,000-square foot office space at Washington Pavilions in Sewell for $1,700,000.00, representing both the buyer, Springdale, Inc., and seller, Washington Pavilions Building C, LLC.</p>";;"2011-03-21 20:18:00"
"601";"Sale of retail building, 700 Haddon Avenue, in Collingswood, NJ.";"14";"1";"Markeim-Chalmers negotiated the sale of 700 Haddon Avenue, a 3,400-square foot retail building in Collingswood, which closed on December 13, 2010 for $435,000.00.";;"2010-12-13 20:24:00"
"602";"Sale of medical building, 108 Kings Highway in Cherry Hill, NJ";"14";"1";"Markeim-Chalmers, arranged the sale of 108 Kings Highway in Cherry Hill. The 1,700-square foot freestanding medical building sold for $340,000.00 and settled on November 23, 2010.";;"2010-11-23 20:28:00"
"603";"Long term lease of a Pep Boys, 1074 North Black Horse Pike in Williamstown, NJ.";"14";"1";"Markeim-Chalmers represented the lessor, 1074 BHP, LLC in the long term lease of a 7,200-square foot Pep Boys location at 1074 North Black Horse Pike in Williamstown.";;"2011-03-21 20:31:00"
"604";"Sale of office condo at the Greens of Laurel Oak in Voorhees, NJ. ";"14";"1";"Markeim-Chalmers represented both parties in the sale of a 1,525-square foot office condo at the Greens of Laurel Oak in Voorhees. The property sold for $170,000.00 and closed on December 3, 2010.";;"2010-12-03 20:36:00"
"605";"Sale of office building,18 Kings Highway in Haddonfield, NJ";"14";"1";"Markeim-Chalmers represented the seller of the 4,100-square foot office building located at 18 Kings Highway in Haddonfield for $725,000.00. The sale settled on December 2, 2010.`";;"2010-12-02 20:39:00"
"608";"Long-term lease of office space for Sherman, Silverstein, Kohl, Rose & Podolsky, P.A. in Moorestown, NJ.";"14";"1";"Markeim-Chalmers negotiates the long-term lease of 14,000 sf square foot office space for Sherman, Silverstein, Kohl, Rose &amp; Podolsky, P.A. at 308 Harper Drive in Moorestown, New Jersey.";;"2010-11-29 21:12:00"
"610";"Sale of the 26-acre South Jersey golf center in in Sewell, NJ.";"14";"1";"Markeim-Chalmers represents both parties in the sale of the 26-acre South Jersey golf center at 312 Salina Road in Sewell, New Jersey working closely with GCF bank's oreo department.";;"2010-12-03 21:25:00"
"611";"Long term lease of retail space in Lumberton, NJ.";"14";"1";"Markeim-Chalmers arranges the long term lease of 15,000- square foot retail space to great value thrift at Evegreen Plaza, 1710 route 38 in Lumberton, New Jersey.";;"2010-11-29 21:30:00"
"612";"Lease renewal of 50,000- square foot office space for Canon Financial Services, inc. at 158 Gaither Drive in Mount Laurel, New Jersey.";"14";"1";"Markeim-Chalmers coordinates the lease renewal of 50,000- square foot office space for Canon Financial Services, inc. at 158 Gaither Drive in Mount Laurel, New Jersey.";;"2010-11-29 21:49:00"
"613";"5,000- square foot Medical office at Harbor Pavilions, 570 Egg Harbor Road in Sewell, New Jersey.";"14";"1";"Markeim-Chalmers represents the buyer and seller of 5,000- square foot Medical office at Harbor Pavilions, 570 Egg Harbor Road in Sewell, New Jersey.";;"2010-12-04 02:26:00"
"614";"Long term lease of 13,000-square foot office flex space to swets, inc. at 904 north black horse pike in Runnemede, New Jersey.";"14";"1";"Markeim-Chalmers negotiates the the long term lease of 13,000-square foot office flex space to swets, inc. at 904 north black horse pike in Runnemede, New Jersey.";;"2010-11-30 02:28:00"
"615";"Sale of a 6,500-square foot former bank site on 1.1 acres located on 5400 route 42 in Turnersville, New Jersey. ";"14";"1";"Markeim-Chalmers announces the sale of a 6,500-square foot former bank site on 1.1 acres located on 5400 route 42 in Turnersville, New Jersey.";;"2010-11-30 02:29:00"
"620";"Sale of Broadway Plaza, a 15,780-square foot retail shopping center located at 431 South Broadway in Gloucester City, New Jersey.";"14";"1";"Markeim-Chalmers represents both parties in the sale of Broadway Plaza, a 15,780-square foot retail shopping center located at 431 South Broadway in Gloucester City, New Jersey.";;"2011-07-10 02:33:43"
"622";"8,010-square foot former bank branch located at Cobertson and Hamilton avenues in Trenton, New Jersey. ";"14";"1";"Markeim-Chalmers represents the buyer of a 8,010-square foot former bank branch located at Cobertson and hamilton avenues in Trenton, New Jersey.";;"2010-11-30 02:39:00"
"624";"Subway";"14";"1";;;"2010-07-28 02:41:00"
"627";"Sale of 8,500 Square Foot Retail Strip Center and Free-Standing Dunkin’ Donuts in Voorhees, NJ ";"14";"1";"Markeim-Chalmers Negotiates Sale of 8,500 Square Foot Retail Strip Center and Free-Standing Dunkin’ Donuts in Voorhees, NJ";;"2010-07-28 02:52:00"
"625";"Long Term Lease of 22,000 Sq. Ft. for The Bank, a Subsidiary of Fulton Financial Corp. in Mt. Laurel, NJ ";"14";"1";"Markeim-Chalmers Negotiates Long Term Lease of 22,000 Sq. Ft. for The Bank, a Subsidiary of Fulton Financial Corp. in Mt. Laurel, NJ";;"2010-03-06 02:42:00"
"626";"Sale of 8,500 Square Foot Retail Strip Center and Free-Standing Dunkin’ Donuts in Voorhees, NJ ";"14";"1";"Markeim-Chalmers Negotiates Sale of 8,500 Square Foot Retail Strip Center and Free-Standing Dunkin’ Donuts in Voorhees, NJ";;"2010-07-28 02:46:00"
"628";"Four Lease Agreements At Cherry Hill Plaza Bringing The 6-Story Cherry Hill Office Building To 98% Occupancy.";"14";"1";"Markeim-Chalmers Arranges Four Lease Agreements At Cherry Hill Plaza Bringing The 6-Story Cherry Hill Office Building To 98% Occupancy.";;"2010-02-09 02:56:00"
"629";"Lease of 10,000 Square Feet in Cherry Hill For Infinity Mortgage Co. ";"14";"1";"Markeim-Chalmers Arranges Lease of 10,000 Square Feet in Cherry Hill For Infinity Mortgage Co.";;"2010-02-02 02:57:00"
"630";"Lease Agreements for Four Medical Offices in South Jersey Two For Weisman's Children Rehabilitation Hospital and Two For Lab Corp.";"14";"1";"Markeim-Chalmers Arranges Lease Agreements for Four Medical Offices in South Jersey Two For Weisman's Children Rehabilitation Hospital and Two For Lab Corp.";;"2010-01-26 02:58:00"
"631";"Sale of 15,000 Square Feet Retail Building in Haddonfield, NJ ";"14";"1";"Markeim-Chalmers Negotiates the Sale of 15,000 Square Feet Retail Building in Haddonfield, NJ";;"2010-01-19 03:00:00"
"632";"Five-Year Lease for 32,136-Square Feet of Industrial Space at the Runnemede Corporate Center in Runnemede, New Jersey.";"14";"1";"Markeim-Chalmers Coordinates Five-Year Lease for 32,136-Square Feet of Industrial Space at the Runnemede Corporate Center in Runnemede, New Jersey.";;"2009-10-21 03:01:00"
"633";"Long-Term Lease at South Jersey Technology Park With EIRC's New 24,000-SQ. FT. Office, The Building is 100% Occupied. ";"14";"1";"Markeim-Chalmers Negotiates Long-Term Lease at South Jersey Technology Park With EIRC's New 24,000-SQ. FT. Office, The Building is 100% Occupied.";;"2009-10-13 03:05:00"
"634";"20,000-Square Foot Office Building to the Washington Township Library Board in Sewell, New Jersey.";"14";"1";"Markeim-Chalmers Represents the Seller of 20,000-Square Foot Office Building to the Washington Township Library Board in Sewell, New Jersey.";;"2009-10-07 03:07:00"
"635";"Named Exclusive Listing Representative for Designers Court in Marlton, NJ ";"14";"1";"Markeim-Chalmers, Inc. Named Exclusive Listing Representative for Designers Court in Marlton, NJ";;"2009-09-15 03:11:00"
"636";"Sun National Bank and Teknion, LLC in the Lease of 18,000 Sq. Ft. \"A\" Class Office Space in Mount Laurel, New Jersey.";"14";"1";"Markeim-Chalmers Represents Sun National Bank and Teknion, LLC in the Lease of 18,000 Sq. Ft. \"A\" Class Office Space in Mount Laurel, New Jersey.";;"2009-08-25 03:15:00"
"637";"Canon Financial Services, Inc. in the Lease of 36,997 Sq. Ft. of Industrial Space in Mount Laurel, New Jersey.";"14";"1";"Markeim-Chalmers Represents Canon Financial Services, Inc. in the Lease of 36,997 Sq. Ft. of Industrial Space in Mount Laurel, New Jersey.";;"2009-07-02 03:16:00"
"638";"Long-Term Lease Agreement for 15,000+ Sq. Ft. to Habitat for Humanity ReStore in Pennsauken, New Jersey";"14";"1";"Markeim-Chalmers Arranges Long-Term Lease Agreement for 15,000+ Sq. Ft. to Habitat for Humanity ReStore in Pennsauken, New Jersey";;"2009-07-24 03:17:00"
"639";"Welcome Jeffrey Angeloni As Sales Associate ";"14";"1";"Markeim-Chalmers, Inc. Welcomes Jeffrey Angeloni As Sales Associate";;"2009-07-14 03:20:00"
"640";"Fox Rehabilitation in the purchase of a 90,000 SQ. FT. office building, which will serve as it corporate headquarters in Cherry Hill, New Jersey.";"14";"1";"Markeim-Chalmers represents Fox Rehabilitation in the purchase of a 90,000 SQ. FT. office building, which will serve as it corporate headquarters in Cherry Hill, New Jersey.";;"2009-06-05 03:20:00"
"641";"Sale 48,000 Sq. Ft. Warehouse at 112 Gaither Drive in Mount Laurel, New Jersey. ";"14";"1";"Markeim-Chalmers Sells 48,000 Sq. Ft. Warehouse at 112 Gaither Drive in Mount Laurel, New Jersey.";;"2009-06-03 03:22:00"
"642";"Long-Term Lease of 47,121 Sq. Ft. Office in Marlton, New Jersey to Conner Strong Companies, Inc. ";"14";"1";"Markeim-Chalmers Involved With Long-Term Lease of 47,121 Sq. Ft. Office in Marlton, New Jersey to Conner Strong Companies, Inc.";;"2009-05-02 03:23:00"
"643";"Long-Term Lease Agreement for 10,000 Sq. Ft. Tokyo Hibachi and Sushi Buffet in Deptford Township, New Jersey.";"14";"1";"Markeim-Chalmers Arranges Long-Term Lease Agreement for 10,000 Sq. Ft. Tokyo Hibachi and Sushi Buffet in Deptford Township, New Jersey.";;"2009-03-24 03:30:00"
"645";"Sale of the Prominent 24,000-Square Foot Canals Shopping Center in Delran, New Jersey";"14";"1";"Markeim-Chalmers Announces Sale of the Prominent 24,000-Square Foot Canals Shopping Center in Delran, New Jersey";;"2009-03-10 11:14:00"
"646";"Sale of Pep Boys Plaza The 50,000 SQ. FT. Retail Shopping Center in Cinnaminson, New Jersey.";"14";"1";"Markeim-Chalmers Retail Division Negotiates Sale of Pep Boys Plaza The 50,000 SQ. FT. Retail Shopping Center in Cinnaminson, New Jersey.";;"2009-03-10 11:18:00"
"647";"Former Bank Branch";"14";"1";"Markeim-Chalmers Closes the Deal on Former Bank Branch";;"2008-08-12 11:20:00"
"648";"MC Named Exclusive Listing Representative for South Jersey Technology Park on Rowan University Campus";"14";"1";"Markeim-Chalmers, Inc. Named Exclusive Listing Representative for South Jersey Technology Park on Rowan University Campus";;"2008-08-07 11:21:00"
"649";"Sale of 30,000 SQ. FT. Office Building at 523 Hollywood Avenue in Cherry Hill, New Jersey.";"14";"1";"Markeim-Chalmers Sells 30,000 SQ. FT. Office Building at 523 Hollywood Avenue in Cherry Hill, New Jersey.";;"2008-07-21 11:22:00"
"650";"Welcome Scott Martin as Senior Associate";"14";"1";"Markeim-Chalmers, Inc. Welcomes Scott Martin As Senior Associate";;"2007-10-15 11:23:00"
"651";"Building Retail Division With New Hire Seth Hersh";"14";"1";"Markeim-Chalmers, Inc. Builds Its Retail Division With New Hire Seth Hersh";;"2007-09-12 11:23:00"
"652";"Welcome New Sales Associate - Matthew Neisser";"14";"0";"Markeim-Chalmers, Inc. Welcome New Sales Associate - Matthew Neisser";;"2007-02-20 11:24:00"
"653";"Lease 55,000 Sq. Ft. office space on Fellowship Road in Mount Laurel, New Jersey to Teknion, Inc. with landlord, Liberty Property Trust.";"14";"1";"Markeim-Chalmers Leases 55,000 Sq. Ft. office space on Fellowship Road in Mount Laurel, New Jersey to Teknion, Inc. with landlord, Liberty Property Trust.";;"2007-02-15 11:25:00"
"654";"Sale 90,000 SQ. FT. office building at 10000 Atrium Way in Mount Laurel, New Jersey to Commerce Bank. ";"14";"1";"Markeim-Chalmers Announces Sale 90,000 SQ. FT. office building at 10000 Atrium Way in Mount Laurel, New Jersey to Commerce Bank.";;"2007-02-15 11:26:00"
"655";"Lease of 22,000 square foot office space on Fellowship Road in Mount Laurel, New Jersey to Cooper Hospital with landlord, Davis Enterprises.";"14";"1";"Markeim-Chalmers Negotiates Lease of 22,000 square foot office space on Fellowship Road in Mount Laurel, New Jersey to Cooper Hospital with landlord, Davis Enterprises.";;"2007-02-15 11:27:00"
"686";"12-Year Lease of 12,929 SQ. FT. to KHS Ambulatory Surgery Center, LLC in Sewell, New Jersey";"14";"1";"Markeim-Chalmers Negotiates 12-Year Lease of 12,929 SQ. FT. to KHS Ambulatory Surgery Center, LLC in Sewell, New Jersey";;"2009-05-27 14:30:00"
"572";"Recent Deals";"15";"1";"Markeim-Chalmers negotiated the long-term lease of a 5,200-square foot  office at 1998 Route 70 in Cherry Hill, NJ. The firm represented the  tenant, Advanced Therapy.";;"2011-07-09 14:24:05"
"579";"Long-term lease of a 5,200-square foot office for Advanced Therapy Cherry Hill, NJ";"15";"1";"<p>Markeim-Chalmers negotiated the long-term lease of a 5,200-square foot office at 1998 Route 70 in Cherry Hill, NJ. The firm represented the tenant, Advanced Therapy.</p>";;"2011-06-17 17:52:00"
"580";"Sale of a 7,000-square foot retail site in Franklin Township, NJ.";"15";"1";"<p>Markeim-Chalmers negotiated the sale of a 7,000-square foot retail site located at 631 Somerset Street in Franklin Township, NJ.</p>";;"2011-05-01 18:28:00"
"581";"Long-term lease of former Denny's restaurant in Mt. Laurel, NJ.";"15";"1";"<p>Markeim-Chalmers represented both parties in the long-term lease of a 5,000-square foot former Denny's restaurant located on Route 73 in Mt. Laurel, NJ.</p>";;"2011-05-01 18:31:00"
"582";"Sale of NJ Leap Academy University Charter School in Camden, NJ.";"15";"1";"<p>Markeim-Chalmers negotiated the sale of 528-532 Cooper Street in Camden, NJ Leap Academy University Charter School. The sale closed for $375,000.</p>";;"2011-06-23 18:34:00"
"583";"Regional bank sale in Magnolia, NJ to a private investor.";"15";"1";"<p>Markeim-Chalmers represented a regional bank in the sale of 336 White Horse Pike in Magnolia, NJ to a private investor for $180,000.</p>";;"2011-06-19 18:46:00"
"584";"Sale of 2814 Route 73 in Maple Shade, NJ.";"15";"1";"<p>Markeim-Chalmers represented both parties, Syco A LLC (seller) and JB Investments (buyer) in the sale of 2814 Route 73 in Maple Shade, NJ for $850,000.</p>";;"2011-05-01 18:51:00"
"585";"Sale of a 12,000-square foot office building in Cherry Hill, NJ.";"15";"1";"<p>Markeim-Chalmers negotiated the sale of a 12,000-square foot freestanding office building at 120 Haddontowne Court in Cherry Hill, NJ.</p>";;"2011-06-19 19:00:00"
"586";"Sale of Former Burger King at 1 White Horse Pike in Oaklyn, NJ.";"15";"1";"<p>Markeim-Chalmers arranged the sale of a Former Burger King located at 1 White Horse Pike in Oaklyn, NJ for $250,000.</p>";;"2011-05-01 19:06:00"
"587";"Sale of 16 acres of land in Pilesgrove, NJ.";"15";"1";"<p>Markeim-Chalmers negotiated the sale of 16 acres of land on Routes 40 &amp; 45 in Pilesgrove, NJ. The property, which closed for $600,000.</p>";;"2011-06-19 19:09:00"
"616";"8,010-square foot former bank branch located at Cobertson and Hamilton avenues in Trenton, New Jersey. ";"15";"1";"Markeim-Chalmers represents the buyer of a 8,010-square foot former bank branch located at Cobertson and hamilton avenues in Trenton, New Jersey.";;"2010-11-02 02:30:00"
"617";"Long-term lease of 10,000-square foot office space for the Rothman Institute at 327 Greentree Road in Washington Township, New Jersey.";"15";"1";"Markeim-Chalmers negotiates the long-term lease of 10,000-square foot office space for the Rothman Institute at 327 Greentree Road in Washington Township, New Jersey.";;"2010-09-02 02:31:00"
"618";"Sale of a 32,500-square foot flex building located at 2531 Route 206 in Eastampton Township, New Jersey. ";"15";"1";"Markeim-Chalmers arranges the sale of a 32,500-square foot flex building located at 2531 Route 206 in Eastampton Township, New Jersey.";;"2010-09-02 02:31:00"
"619";"Sale of the 7,300-square foot Auto Zone location at 4347 Route 130 South in Edgewater, New Jersey. ";"15";"1";"Markeim-Chalmers negotiates the sale of the 7,300-square foot Auto Zone location at 4347 Route 130 South in Edgewater, New Jersey, representing both the seller, Mid State Equity, LLC and buyer, a private real estate investor. The sale closed for $1,850,000.";;"2010-09-02 02:32:00"
"621";"Sale of Broadway Plaza, a 15,780-square foot retail shopping center located at 431 South Broadway in Gloucester City, New Jersey.";"15";"1";"Markeim-Chalmers represents both parties in the sale of Broadway Plaza, a 15,780-square foot retail shopping center located at 431 South Broadway in Gloucester City, New Jersey.";;"2010-09-02 02:33:00"
"623";"Sale of 4,000-square foot in prime retail space at 28-30 Haddon Avenue in Haddon Township, New Jersey. ";"15";"1";"Markeim-Chalmers arranges the sale of 4,000-square foot in prime retail space at 28-30 Haddon Avenue in Haddon Township, New Jersey.";;"2010-09-02 02:41:00"
"1081";"Medical Office Deals Are A Specialty at MCI";"15";"1";"<p>Scott Martin has recently completed 6 medical transactions totaling 60,000 square feet.&nbsp; The practice groups represented were both public and private entities and are located throughout the Philadelphia metro area.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-12-03 20:43:49"
"966";"Sale of 70,000 SF Office Building to Rothman Institute Marlton, NJ";"15";"1";"<p>Markeim-Chalmers represented the Rothman Institute in the purchase of its new  70,000-square foot facility located at Three Greentree in Marlton, New  Jersey from Brandywine Realty Trust.</p>
";"
<p><br /> July 13, 2011 – Cherry Hill, NJ – Markeim-Chalmers, Inc. (MCI), a leading commercial real estate and appraisal firm in the Philadelphia Metropolitan Area, represented the Rothman Institute in the purchase of its new 70,000-square foot facility located at Three Greentree in Marlton, New Jersey.</p>
The Rothman Institute, the region's largest orthopaedic practice based in Philadelphia, PA, will occupy 35,000-square feet and Markeim-Chalmers will lease the remainder. Scott Martin, a vice president with Markeim-Chalmers, negotiated the sale on behalf of the buyer with Brandywine Realty Trust and will continue to represent the Rothman Institute in leasing space within the building moving forward. The sale closed on June 27, 2011.<br />
<p><br /> Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2011-09-14 15:23:43"
"1043";"Sale of Auto Dealership Property, Runnemede, NJ";"15";"1";"<p>Kevin Burns represented the Seller, J &amp; J LaFlam, LLC in a sale of 1.5 acres of land on the Black Horse Pike in Runnemede to Runnemede Equities, LLC.&nbsp; The sales price was $1,750,000.</p>
";"
<p>&nbsp;Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2012-07-26 17:55:42"
"976";"Sale of 15,300 SF Office Building, Mt. Laurel, NJ on behalf of Conwell L.P.";"15";"1";"<p>Markeim-Chalmers’ president, Fred Berlinsky, and vice president, Matthew Neisser, negotiated the sale of 921 Pleasant Valley Avenue in Mount Laurel, NJ, representing the seller, Conwell Limited Partnership. The 15,300-square foot office sold to Free For All, Inc. for $1,100,000.00 and settled in September 2011.</p>
";"
Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.";"2011-10-20 15:23:17"
"977";"Sale of 27 Unit Apartment Complex, Camden, NJ";"15";"1";"<p>As Corporate Appointed Receiver, Markeim-Chalmers negotiated the sale of the Castle Apartments, a 27-unit complex located at 232 Cooper Street in Camden, NJ, to JVS Camden, LLC. Markeim-Chalmers' president, Fred Berlinsky, and vice president, Kevin Burns, represented both parties and finalized settlement in September 2011 for $1,100,000.00.</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2011-10-20 15:42:39"
"978";"Long term lease of Former Sun National Bank to AT&T, Somerdale, NJ";"15";"1";"<p>Seth Hersh, vice president with Markeim-Chalmers, negotiated the long-term lease of a 2,200-square foot freestanding former bank branch to AT&amp;T Wireless.  The property is located at the corner of the White Horse Pike and Somerdale Rd. in Somerdale, NJ.  Hersh represented both Grammercy Capital (landlord) and AT&amp;T Wireless (tenant).</p>
";"
<p>Markeim-Chalmers, Inc. (MCI) is a full-service commercial real estate firm located in Cherry Hill, NJ, led by Fred S. Berlinsky, Esq., President. Founded in 1922, MCI has evolved into one of the largest commercial real estate and appraisal firms in Philadelphia Metropolitan Area, servicing office, retail and industrial markets throughout the region. MCI is also involved in the sale and development of commercial land, acquisitions, property management and investments. With its focus on the Philadelphia Metropolitan Area marketplace, MCI is also strongly committed to community enhancement and charitable activities.</p>";"2011-10-20 15:58:36"
